movie,year,rating,reviewer_count
The Shawshank Redemption,(1994),9.2,"2,707"
The Godfather,(1972),9.2,"1,879"
The Dark Knight,(2008),9.0,"2,680"
The Godfather Part II,(1974),9.0,"1,283"
12 Angry Men,(1957),9.0,"799,715"
Schindler's List,(1993),8.9,"1,368"
The Lord of the Rings: The Return of the King,(2003),8.9,"1,863"
Pulp Fiction,(1994),8.8,"2,078"
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"1,892"
"Il buono, il brutto, il cattivo",(1966),8.8,"768,563"
Forrest Gump,(1994),8.8,"2,103"
Fight Club,(1999),8.7,"2,151"
The Lord of the Rings: The Two Towers,(2002),8.7,"1,682"
Inception,(2010),8.7,"2,378"
The Empire Strikes Back,(1980),8.7,"1,304"
The Matrix,(1999),8.7,"1,931"
GoodFellas,(1990),8.7,"1,174"
One Flew Over the Cuckoo's Nest,(1975),8.6,"1,016"
Se7en,(1995),8.6,"1,671"
Shichinin no samurai,(1954),8.6,"349,122"
It's a Wonderful Life,(1946),8.6,"467,240"
The Silence of the Lambs,(1991),8.6,"1,447"
Saving Private Ryan,(1998),8.6,"1,404"
Cidade de Deus,(2002),8.6,"763,032"
Interstellar,(2014),8.6,"1,865"
La vita è bella,(1997),8.6,"702,601"
The Green Mile,(1999),8.6,"1,315"
Star Wars,(1977),8.5,"1,376"
Terminator 2: Judgment Day,(1991),8.5,"1,109"
Back to the Future,(1985),8.5,"1,219"
Sen to Chihiro no kamikakushi,(2001),8.5,"774,686"
The Pianist,(2002),8.5,"842,495"
Psycho,(1960),8.5,"678,652"
Gisaengchung,(2019),8.5,"825,923"
Léon,(1994),8.5,"1,173"
The Lion King,(1994),8.5,"1,069"
Gladiator,(2000),8.5,"1,515"
American History X,(1998),8.5,"1,131"
The Departed,(2006),8.5,"1,338"
The Usual Suspects,(1995),8.5,"1,094"
The Prestige,(2006),8.5,"1,346"
Whiplash,(2014),8.5,"881,412"
Casablanca,(1942),8.5,"577,055"
Seppuku,(1962),8.5,"59,179"
Hotaru no haka,(1988),8.5,"281,960"
The Intouchables,(2011),8.5,"869,021"
Modern Times,(1936),8.4,"245,429"
Once Upon a Time in the West,(1968),8.4,"333,438"
Rear Window,(1954),8.4,"496,537"
Nuovo Cinema Paradiso,(1988),8.4,"264,597"
Alien,(1979),8.4,"891,900"
City Lights,(1931),8.4,"186,707"
Apocalypse Now,(1979),8.4,"674,496"
Memento,(2000),8.4,"1,249"
Django Unchained,(2012),8.4,"1,573"
Raiders of the Lost Ark,(1981),8.4,"975,465"
WALL·E,(2008),8.4,"1,127"
The Lives of Others,(2006),8.4,"393,037"
Sunset Blvd.,(1950),8.4,"224,440"
Paths of Glory,(1957),8.4,"199,833"
The Shining,(1980),8.4,"1,034"
The Great Dictator,(1940),8.4,"226,399"
Avengers: Infinity War,(2018),8.4,"1,098"
Witness for the Prosecution,(1957),8.4,"127,479"
Aliens,(1986),8.3,"724,752"
Spider-Man: Into the Spider-Verse,(2018),8.3,"543,768"
American Beauty,(1999),8.3,"1,163"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.3,"495,483"
The Dark Knight Rises,(2012),8.3,"1,720"
Oldeuboi,(2003),8.3,"587,201"
Inglourious Basterds,(2009),8.3,"1,468"
Amadeus,(1984),8.3,"405,350"
Coco,(2017),8.3,"520,112"
Toy Story,(1995),8.3,"1,004"
Joker,(2019),8.3,"1,316"
Braveheart,(1995),8.3,"1,045"
Das Boot,(1981),8.3,"253,302"
Avengers: Endgame,(2019),8.3,"1,152"
Mononoke-hime,(1997),8.3,"400,242"
Once Upon a Time in America,(1984),8.3,"356,040"
Good Will Hunting,(1997),8.3,"985,630"
Kimi no na wa.,(2016),8.3,"275,921"
Singin' in the Rain,(1952),8.3,"245,945"
3 Idiots,(2009),8.3,"405,474"
Requiem for a Dream,(2000),8.3,"851,371"
Tengoku to jigoku,(1963),8.3,"46,590"
Toy Story 3,(2010),8.3,"844,688"
